classifier_name,dataset_name,accuracy
ppv,ACSF1,0.91
ppv,Adiac,0.815856777
ppv,AllGestureWiimoteX,0.688571429
ppv,AllGestureWiimoteY,0.717142857
ppv,AllGestureWiimoteZ,0.685714286
ppv,ArrowHead,0.851428571
ppv,BME,1
ppv,Beef,0.866666667
ppv,BeetleFly,0.9
ppv,BirdChicken,0.9
ppv,CBF,0.998888889
ppv,Car,0.916666667
ppv,Chinatown,0.982507289
ppv,ChlorineConcentration,0.75625
ppv,CinCECGTorso,0.867391304
ppv,Coffee,1
ppv,Computers,0.732
ppv,CricketX,0.805128205
ppv,CricketY,0.835897436
ppv,CricketZ,0.828205128
ppv,Crop,0.750892857
ppv,DiatomSizeReduction,0.928104575
ppv,DistalPhalanxOutlineAgeGroup,0.748201439
ppv,DistalPhalanxOutlineCorrect,0.789855072
ppv,DistalPhalanxTW,0.71942446
ppv,DodgerLoopDay,0.6625
ppv,DodgerLoopGame,0.862318841
ppv,DodgerLoopWeekend,0.985507246
ppv,ECG200,0.92
ppv,ECG5000,0.944888889
ppv,ECGFiveDays,1
ppv,EOGHorizontalSignal,0.593922652
ppv,EOGVerticalSignal,0.555248619
ppv,Earthquakes,0.748201439
ppv,ElectricDevices,0.732330437
ppv,EthanolLevel,0.604
ppv,FaceAll,0.807100592
ppv,FaceFour,0.988636364
ppv,FacesUCR,0.958536585
ppv,FiftyWords,0.837362637
ppv,Fish,0.982857143
ppv,FordA,0.949242424
ppv,FordB,0.82345679
ppv,FreezerRegularTrain,0.999649123
ppv,FreezerSmallTrain,0.964210526
ppv,Fungi,1
ppv,GestureMidAirD1,0.723076923
ppv,GestureMidAirD2,0.630769231
ppv,GestureMidAirD3,0.446153846
ppv,GesturePebbleZ1,0.906976744
ppv,GesturePebbleZ2,0.860759494
ppv,GunPoint,0.993333333
ppv,GunPointAgeSpan,0.993670886
ppv,GunPointMaleVersusFemale,1
ppv,GunPointOldVersusYoung,1
ppv,Ham,0.714285714
ppv,HandOutlines,0.945945946
ppv,Haptics,0.542207792
ppv,Herring,0.65625
ppv,HouseTwenty,0.966386555
ppv,InlineSkate,0.474545455
ppv,InsectEPGRegularTrain,1
ppv,InsectEPGSmallTrain,0.991967871
ppv,InsectWingbeatSound,0.67020202
ppv,ItalyPowerDemand,0.965014577
ppv,LargeKitchenAppliances,0.856
ppv,Lightning2,0.737704918
ppv,Lightning7,0.767123288
ppv,Mallat,0.948827292
ppv,Meat,0.966666667
ppv,MedicalImages,0.802631579
ppv,MelbournePedestrian,0.95899959
ppv,MiddlePhalanxOutlineAgeGroup,0.597402597
ppv,MiddlePhalanxOutlineCorrect,0.862542955
ppv,MiddlePhalanxTW,0.545454545
ppv,MixedShapesRegularTrain,0.970721649
ppv,MixedShapesSmallTrain,0.948041237
ppv,MoteStrain,0.924920128
ppv,NonInvasiveFetalECGThorax1,0.946564885
ppv,NonInvasiveFetalECGThorax2,0.966412214
ppv,OSULeaf,0.958677686
ppv,OliveOil,0.933333333
ppv,PLAID,0.944134078
ppv,PhalangesOutlinesCorrect,0.833333333
ppv,Phoneme,0.291666667
ppv,PickupGestureWiimoteZ,0.86
ppv,PigAirwayPressure,0.875
ppv,PigArtPressure,0.985576923
ppv,PigCVP,0.947115385
ppv,Plane,1
ppv,PowerCons,0.994444444
ppv,ProximalPhalanxOutlineAgeGroup,0.853658537
ppv,ProximalPhalanxOutlineCorrect,0.910652921
ppv,ProximalPhalanxTW,0.804878049
ppv,RefrigerationDevices,0.461333333
ppv,Rock,0.82
ppv,ScreenType,0.456
ppv,SemgHandGenderCh2,0.875
ppv,SemgHandMovementCh2,0.68
ppv,SemgHandSubjectCh2,0.877777778
ppv,ShakeGestureWiimoteZ,0.88
ppv,ShapeletSim,1
ppv,ShapesAll,0.921666667
ppv,SmallKitchenAppliances,0.824
ppv,SmoothSubspace,0.9
ppv,SonyAIBORobotSurface1,0.903494176
ppv,SonyAIBORobotSurface2,0.912906611
ppv,StarLightCurves,0.981301603
ppv,Strawberry,0.978378378
ppv,SwedishLeaf,0.9664
ppv,Symbols,0.976884422
ppv,SyntheticControl,0.946666667
ppv,ToeSegmentation1,0.969298246
ppv,ToeSegmentation2,0.907692308
ppv,Trace,1
ppv,TwoLeadECG,0.997366111
ppv,TwoPatterns,0.9715
ppv,UMD,0.993055556
ppv,UWaveGestureLibraryAll,0.962311558
ppv,UWaveGestureLibraryX,0.838916806
ppv,UWaveGestureLibraryY,0.760189838
ppv,UWaveGestureLibraryZ,0.790340592
ppv,Wafer,0.99367294
ppv,Wine,0.851851852
ppv,WordSynonyms,0.724137931
ppv,Worms,0.701298701
ppv,WormsTwoClass,0.701298701
ppv,Yoga,0.897333333
ppv+max,ACSF1,0.91
ppv+max,Adiac,0.815856777
ppv+max,AllGestureWiimoteX,0.688571429
ppv+max,AllGestureWiimoteY,0.6625
ppv+max,AllGestureWiimoteZ,0.685714286
ppv+max,ArrowHead,0.851428571
ppv+max,BME,1
ppv+max,Beef,0.866666667
ppv+max,BeetleFly,0.9
ppv+max,BirdChicken,0.6625
ppv+max,CBF,0.998888889
ppv+max,Car,0.916666667
ppv+max,Chinatown,0.982507289
ppv+max,ChlorineConcentration,0.75625
ppv+max,CinCECGTorso,0.867391304
ppv+max,Coffee,1
ppv+max,Computers,0.732
ppv+max,CricketX,0.805128205
ppv+max,CricketY,0.835897436
ppv+max,CricketZ,0.6625
ppv+max,Crop,0.750892857
ppv+max,DiatomSizeReduction,0.6625
ppv+max,DistalPhalanxOutlineAgeGroup,0.748201439
ppv+max,DistalPhalanxOutlineCorrect,0.789855072
ppv+max,DistalPhalanxTW,0.71942446
ppv+max,DodgerLoopDay,0.6625
ppv+max,DodgerLoopGame,0.862318841
ppv+max,DodgerLoopWeekend,0.985507246
ppv+max,ECG200,0.92
ppv+max,ECG5000,0.7625
ppv+max,ECGFiveDays,1
ppv+max,EOGHorizontalSignal,0.593922652
ppv+max,EOGVerticalSignal,0.555248619
ppv+max,Earthquakes,0.748201439
ppv+max,ElectricDevices,0.732330437
ppv+max,EthanolLevel,0.604
ppv+max,FaceAll,0.807100592
ppv+max,FaceFour,0.6625
ppv+max,FacesUCR,0.958536585
ppv+max,FiftyWords,0.837362637
ppv+max,Fish,0.982857143
ppv+max,FordA,0.6625
ppv+max,FordB,0.82345679
ppv+max,FreezerRegularTrain,0.999649123
ppv+max,FreezerSmallTrain,0.964210526
ppv+max,Fungi,1
ppv+max,GestureMidAirD1,0.723076923
ppv+max,GestureMidAirD2,0.630769231
ppv+max,GestureMidAirD3,0.446153846
ppv+max,GesturePebbleZ1,0.906976744
ppv+max,GesturePebbleZ2,0.860759494
ppv+max,GunPoint,0.993333333
ppv+max,GunPointAgeSpan,0.993670886
ppv+max,GunPointMaleVersusFemale,1
ppv+max,GunPointOldVersusYoung,1
ppv+max,Ham,0.714285714
ppv+max,HandOutlines,0.945945946
ppv+max,Haptics,0.542207792
ppv+max,Herring,0.65625
ppv+max,HouseTwenty,0.966386555
ppv+max,InlineSkate,0.474545455
ppv+max,InsectEPGRegularTrain,1
ppv+max,InsectEPGSmallTrain,0.991967871
ppv+max,InsectWingbeatSound,0.67020202
ppv+max,ItalyPowerDemand,0.965014577
ppv+max,LargeKitchenAppliances,0.856
ppv+max,Lightning2,0.737704918
ppv+max,Lightning7,0.767123288
ppv+max,Mallat,0.6625
ppv+max,Meat,0.966666667
ppv+max,MedicalImages,0.802631579
ppv+max,MelbournePedestrian,0.95899959
ppv+max,MiddlePhalanxOutlineAgeGroup,0.597402597
ppv+max,MiddlePhalanxOutlineCorrect,0.862542955
ppv+max,MiddlePhalanxTW,0.545454545
ppv+max,MixedShapesRegularTrain,0.970721649
ppv+max,MixedShapesSmallTrain,0.948041237
ppv+max,MoteStrain,0.6625
ppv+max,NonInvasiveFetalECGThorax1,0.946564885
ppv+max,NonInvasiveFetalECGThorax2,0.966412214
ppv+max,OSULeaf,0.958677686
ppv+max,OliveOil,0.933333333
ppv+max,PLAID,0.944134078
ppv+max,PhalangesOutlinesCorrect,0.6625
ppv+max,Phoneme,0.291666667
ppv+max,PickupGestureWiimoteZ,0.86
ppv+max,PigAirwayPressure,0.875
ppv+max,PigArtPressure,0.985576923
ppv+max,PigCVP,0.947115385
ppv+max,Plane,1
ppv+max,PowerCons,0.994444444
ppv+max,ProximalPhalanxOutlineAgeGroup,0.853658537
ppv+max,ProximalPhalanxOutlineCorrect,0.910652921
ppv+max,ProximalPhalanxTW,0.804878049
ppv+max,RefrigerationDevices,0.461333333
ppv+max,Rock,0.82
ppv+max,ScreenType,0.456
ppv+max,SemgHandGenderCh2,0.838333333
ppv+max,SemgHandMovementCh2,0.6625
